Symbol,Company,Market Cap,% Change,Volume,Revenue
PYCR,"Paycor HCM, Inc.",4.00B,0.18%,"2,680,703",678.84M
CLVT,Clarivate Plc,3.91B,-,"4,111,803",2.58B
FROG,JFrog Ltd.,3.88B,0.90%,"588,096",409.67M
RUM,Rumble Inc.,3.86B,4.85%,"5,449,226",85.65M
PI,"Impinj, Inc.",3.85B,-2.34%,"324,109",345.17M
DXC,DXC Technology Company,3.82B,-0.33%,"588,059",13.26B
PAY,"Paymentus Holdings, Inc.",3.79B,-0.75%,"204,639",778.67M
BLKB,"Blackbaud, Inc.",3.78B,0.01%,"112,534",1.15B
BL,"BlackLine, Inc.",3.78B,0.02%,"321,468",639.61M
NCNO,"nCino, Inc.",3.77B,0.18%,"489,966",522.98M
DOCN,"DigitalOcean Holdings, Inc.",3.71B,3.74%,"1,895,085",756.56M
RGTI,"Rigetti Computing, Inc.",3.70B,-2.00%,"211,249,936",11.89M
ALIT,"Alight, Inc.",3.69B,-1.14%,"3,612,536",3.36B
PAYO,Payoneer Global Inc.,3.63B,-,"1,528,025",940.30M
LIF,"Life360, Inc.",3.57B,1.19%,"200,342",342.92M
ALKT,"Alkami Technology, Inc.",3.54B,-1.10%,"287,435",315.56M
POWI,"Power Integrations, Inc.",3.52B,-1.60%,"461,750",403.23M
DLO,DLocal Limited,3.44B,1.94%,"324,842",729.49M
ZI,ZoomInfo Technologies Inc.,3.43B,0.30%,"7,913,128",1.22B
ESE,ESCO Technologies Inc.,3.41B,-2.08%,"98,787",1.03B
DV,"DoubleVerify Holdings, Inc.",3.39B,1.42%,"998,772",638.46M
AVPT,"AvePoint, Inc.",3.38B,-1.53%,"1,129,748",315.92M
CNXC,Concentrix Corporation,3.38B,0.19%,"1,036,948",9.62B
YOU,"Clear Secure, Inc.",3.37B,0.50%,"1,467,002",735.18M
OSIS,"OSI Systems, Inc.",3.34B,3.53%,"310,856",1.65B
AMBA,"Ambarella, Inc.",3.33B,-3.14%,"594,165",252.47M
SYNA,Synaptics Incorporated,3.27B,-1.71%,"402,920",979.40M
FORM,"FormFactor, Inc.",3.23B,-2.82%,"520,776",742.28M
IPGP,IPG Photonics Corporation,3.20B,-3.91%,"157,097",1.04B
GRND,Grindr Inc.,3.19B,8.07%,"2,989,379",319.10M
LPL,"LG Display Co., Ltd.",3.17B,1.25%,"104,369",18.02B
RNG,"RingCentral, Inc.",3.12B,0.76%,"795,979",2.36B
TDC,Teradata Corporation,3.06B,-0.68%,"579,371",1.80B
BTDR,Bitdeer Technologies Group,3.04B,4.58%,"6,800,789",395.61M
ALRM,"Alarm.com Holdings, Inc.",3.04B,-1.09%,"149,008",923.82M
FIVN,"Five9, Inc.",2.99B,1.56%,"937,581",1.00B
DIOD,Diodes Incorporated,2.81B,-1.11%,"414,202",1.29B
PAR,PAR Technology Corporation,2.78B,0.69%,"323,022",453.99M
WNS,WNS (Holdings) Limited,2.71B,2.82%,"891,955",1.32B
TTMI,"TTM Technologies, Inc.",2.64B,0.23%,"512,895",2.36B
CALX,"Calix, Inc.",2.59B,-1.19%,"590,998",890.13M
VICR,Vicor Corporation,2.59B,-0.61%,"269,670",355.54M
STNE,StoneCo Ltd.,2.58B,1.52%,"5,339,138",2.27B
AGYS,"Agilysys, Inc.",2.56B,-3.59%,"527,603",263.57M
ODD,Oddity Tech Ltd.,2.53B,0.54%,"342,272",620.65M
KC,Kingsoft Cloud Holdings Limited,2.49B,13.10%,"3,418,591",1.04B
SWI,SolarWinds Corporation,2.47B,-1.02%,"287,290",784.73M
BB,BlackBerry Limited,2.47B,-,"14,705,312",638.00M
RPD,"Rapid7, Inc.",2.46B,0.33%,"361,304",833.01M
APPN,Appian Corporation,2.44B,-0.50%,"296,751",595.66M
KLIC,"Kulicke and Soffa Industries, Inc.",2.43B,-1.46%,"360,349",706.23M
SEMR,"Semrush Holdings, Inc.",2.41B,1.36%,"762,715",357.57M
FLYW,Flywire Corporation,2.39B,3.96%,"1,955,394",475.14M
NATL,NCR Atleos Corporation,2.36B,-0.12%,"207,685",4.31B
VIAV,Viavi Solutions Inc.,2.33B,-1.50%,"1,820,598",990.70M
ACLS,"Axcelis Technologies, Inc.",2.30B,-0.20%,"421,848",1.08B
PRGS,Progress Software Corporation,2.30B,-2.07%,"1,217,111",753.41M
RUN,Sunrun Inc.,2.29B,9.53%,"17,326,878",2.04B
VSH,"Vishay Intertechnology, Inc.",2.29B,-1.69%,"1,822,905",3.01B
IBTA,"Ibotta, Inc.",2.29B,3.09%,"190,436",368.55M
EXTR,"Extreme Networks, Inc.",2.25B,-1.59%,"670,045",1.03B
HIMX,"Himax Technologies, Inc.",2.25B,8.90%,"18,591,873",897.26M
LSPD,Lightspeed Commerce Inc.,2.23B,-0.27%,"588,538",1.01B
CXM,"Sprinklr, Inc.",2.22B,-1.24%,"666,478",788.06M
RAMP,"LiveRamp Holdings, Inc.",2.19B,0.39%,"341,020",707.17M
AVDX,"AvidXchange Holdings, Inc.",2.16B,0.86%,"1,104,899",427.57M
PLUS,ePlus inc.,2.16B,0.79%,"177,827",2.12B
PAGS,PagSeguro Digital Ltd.,2.09B,1.06%,"5,296,997",3.23B
EVTC,"EVERTEC, Inc.",2.06B,0.31%,"181,645",823.71M
APLD,Applied Digital Corporation,2.00B,-3.34%,"14,784,005",211.62M
MXL,"MaxLinear, Inc.",1.95B,-3.46%,"1,624,775",393.71M
DFIN,"Donnelley Financial Solutions, Inc.",1.93B,0.59%,"147,101",802.10M
CNXN,"PC Connection, Inc.",1.92B,0.11%,"53,503",2.79B
DAVA,Endava plc,1.91B,1.00%,"168,342",1.00B
SPT,"Sprout Social, Inc.",1.91B,-0.66%,"335,087",392.40M
EVCM,EverCommerce Inc.,1.90B,0.29%,"72,277",693.21M
JAMF,Jamf Holding Corp.,1.89B,-0.47%,"272,914",615.07M
MQ,"Marqeta, Inc.",1.89B,1.89%,"3,802,769",490.03M
QBTS,D-Wave Quantum Inc.,1.89B,1.00%,"137,313,424",9.42M
VNET,"VNET Group, Inc.",1.87B,2.04%,"4,933,438",1.13B
ROG,Rogers Corporation,1.86B,2.53%,"98,191",842.50M
VYX,NCR Voyix Corporation,1.84B,0.48%,"1,015,428",3.59B
GDYN,"Grid Dynamics Holdings, Inc.",1.84B,2.30%,"452,997",328.36M
NABL,"N-able, Inc.",1.79B,0.21%,"349,053",458.05M
SIMO,Silicon Motion Technology Corporation,1.78B,-2.13%,"168,892",814.77M
GB,Global Blue Group Holding AG,1.76B,-2.01%,"89,252",517.91M
KN,Knowles Corporation,1.76B,-2.30%,"537,747",801.00M
EXOD,"Exodus Movement, Inc.",1.73B,39.20%,"195,157",89.94M
PD,"PagerDuty, Inc.",1.70B,1.18%,"723,915",457.17M
SONO,"Sonos, Inc.",1.70B,-1.21%,"1,028,463",1.52B
DBD,"Diebold Nixdorf, Incorporated",1.69B,1.22%,"80,542",3.80B
BHE,"Benchmark Electronics, Inc.",1.69B,-0.49%,"202,649",2.69B
UCTT,"Ultra Clean Holdings, Inc.",1.67B,-0.78%,"240,239",1.98B
MTTR,"Matterport, Inc.",1.66B,-0.19%,"2,541,014",165.43M
NTCT,"NetScout Systems, Inc.",1.64B,-0.43%,"289,401",787.19M
UPBD,"Upbound Group, Inc.",1.62B,-0.61%,"232,948",4.26B
NN,NextNav Inc.,1.60B,-2.39%,"972,182",4.96M
CTS,CTS Corporation,1.57B,1.38%,"178,454",513.03M
VRNT,Verint Systems Inc.,1.57B,-1.41%,"373,486",920.75M
INFN,Infinera Corporation,1.57B,-0.15%,"649,432",1.46B
MLNK,"MeridianLink, Inc.",1.53B,0.59%,"196,724",311.44M
ZUO,"Zuora, Inc.",1.53B,0.10%,"2,016,033",452.76M
CSGS,"CSG Systems International, Inc.",1.52B,-0.75%,"104,926",1.18B
AAOI,"Applied Optoelectronics, Inc.",1.52B,-5.57%,"1,869,558",209.55M
TASK,"TaskUs, Inc.",1.49B,-2.75%,"253,537",955.01M
VSAT,"Viasat, Inc.",1.48B,-0.48%,"3,545,087",4.53B
PLAB,"Photronics, Inc.",1.48B,-0.85%,"288,810",866.95M
SPNS,Sapiens International Corporation N.V.,1.47B,-0.30%,"183,861",538.93M
VECO,Veeco Instruments Inc.,1.47B,-1.45%,"744,554",709.09M
AMPL,"Amplitude, Inc.",1.45B,1.07%,"406,556",292.54M
ADEA,Adeia Inc.,1.45B,-3.75%,"551,071",343.72M
FSLY,"Fastly, Inc.",1.44B,-1.53%,"2,342,364",540.87M
ENFN,"Enfusion, Inc.",1.43B,-0.09%,"637,018",195.16M
ATEN,"A10 Networks, Inc.",1.42B,-0.98%,"670,032",257.91M
KARO,Karooooo Ltd.,1.41B,0.82%,"95,831",245.97M
QUBT,Quantum Computing Inc.,1.41B,-1.71%,"34,833,450",386.00K
HLIT,Harmonic Inc.,1.38B,-3.27%,"681,095",623.65M
SMWB,Similarweb Ltd.,1.36B,3.86%,"896,117",241.08M
FORTY,Formula Systems (1985) Ltd.,1.33B,3.64%,320,2.71B
SABR,Sabre Corporation,1.32B,-3.12%,"2,536,578",3.00B
