Date,3_Month_Treasury_Bill_Yield,Monthly_Return,Risk_Premium
2016-05-01,0.0027,0.0488964550844153,0.0461964550844153
2016-06-01,0.0027,-0.0185563094384996,-0.021256309438499602
2016-07-01,0.003,0.0762315539461901,0.0732315539461901
2016-08-01,0.003,0.011624911747484,0.008624911747484
2016-09-01,0.0029,0.0168120848242236,0.0139120848242236
2016-10-01,0.0033,-0.0034292008941949,-0.0067292008941949
2016-11-01,0.0045,0.0016874138426343,-0.0028125861573656996
2016-12-01,0.0051,0.0181051114340593,0.013005111434059299
2017-01-01,0.0051,0.0401368333580625,0.0350368333580625
2017-02-01,0.0052,0.0453274732148278,0.040127473214827805
2017-03-01,0.0074,0.0183379935165897,0.010937993516589698
2017-04-01,0.008,0.0240001462737466,0.016000146273746598
2017-05-01,0.0089,0.0395364421444701,0.030636442144470102
2017-06-01,0.0098,-0.0320183903901594,-0.0418183903901594
2017-07-01,0.0107,0.0487995420341338,0.0380995420341338
2017-08-01,0.0101,0.0292163806604939,0.019116380660493898
2017-09-01,0.0103,0.004589308296323,-0.005710691703677
2017-10-01,0.0107,0.0689491294155624,0.0582491294155624
2017-11-01,0.0123,0.0141383871229843,0.0018383871229843002
2017-12-01,0.0132,0.0017228722450364,-0.0114771277549636
2018-01-01,0.0141,0.0743583118977935,0.0602583118977935
2018-02-01,0.0157,-0.0040904088119113,-0.019790408811911298
2018-03-01,0.017,-0.0403402889021458,-0.0573402889021458
2018-04-01,0.0176,0.0037418826001893,-0.013858117399810702
2018-05-01,0.0186,0.0678274011456345,0.0492274011456345
2018-06-01,0.019,-0.006151621567726,-0.025151621567726
2018-07-01,0.0196,0.0244886722375441,0.004888672237544099
2018-08-01,0.0203,0.0659896686017349,0.0456896686017349
2018-09-01,0.0213,-0.0035714713148554,-0.024871471314855398
2018-10-01,0.0225,-0.0769281127437851,-0.0994281127437851
2018-11-01,0.0233,-0.0196253350456095,-0.0429253350456095
2018-12-01,0.0237,-0.0877242279813562,-0.1114242279813562
2019-01-01,0.0237,0.0740185779128093,0.050318577912809304
2019-02-01,0.0239,0.0691007093541857,0.0452007093541857
2019-03-01,0.024,0.0443130710329617,0.020313071032961698
2019-04-01,0.0237999999999999,0.0670850384133514,0.04328503841335149
2019-05-01,0.0235,-0.0866473223381308,-0.1101473223381308
2019-06-01,0.0217,0.0855475161484418,0.06384751614844181
2019-07-01,0.021,0.0386384151133571,0.017638415113357096
2019-08-01,0.0195,-0.0153519187933957,-0.0348519187933957
2019-09-01,0.0189,0.0125738791671912,-0.0063261208328088
2019-10-01,0.0165,0.042228576684842,0.025728576684842
2019-11-01,0.0154,0.0536633853677475,0.038263385367747496
2019-12-01,0.0154,0.0398140139980085,0.024414013998008497
2020-01-01,0.0152,0.0433185933645328,0.028118593364532804
2020-02-01,0.0152,-0.0730096351092608,-0.0882096351092608
2020-03-01,0.0029,-0.0905284215288573,-0.0934284215288573
2020-04-01,0.0014,0.1433036480550276,0.1419036480550276
2020-05-01,0.0013,0.0717646245214849,0.0704646245214849
2020-06-01,0.0016,0.0665508386238344,0.0649508386238344
2020-07-01,0.0013,0.0597600638013857,0.0584600638013857
2020-08-01,0.001,0.1188085444895628,0.1178085444895628
2020-09-01,0.0011,-0.055443233171824,-0.056543233171824
2020-10-01,0.001,-0.0479386973637713,-0.0489386973637713
2020-11-01,0.0009,0.1138372625902892,0.1129372625902892
2020-12-01,0.0009,0.0529641297068816,0.0520641297068816
2021-01-01,0.0008,-0.0060739441434903,-0.0068739441434903
2021-02-01,0.0004,0.0136507666284235,0.013250766628423501
2021-03-01,0.0003,0.0162216710144806,0.0159216710144806
2021-04-01,0.0002,0.0540990706795934,0.0538990706795934
2021-05-01,0.0002,-0.0093057569656609,-0.0095057569656609
2021-06-01,0.0004,0.066907616230784,0.06650761623078401
2021-07-01,0.0005,0.0407774381309635,0.0402774381309635
2021-08-01,0.0005,0.0355931918790399,0.0350931918790399
2021-09-01,0.0004,-0.0600530324601367,-0.060453032460136696
2021-10-01,0.0005,0.0836736561430082,0.0831736561430082
2021-11-01,0.0005,0.0445118575341019,0.044011857534101896
2021-12-01,0.0006,0.0305240902580168,0.0299240902580168
2022-01-01,0.0015,-0.0666797117870026,-0.0681797117870026
2022-02-01,0.0033,-0.0487743491561948,-0.0520743491561948
2022-03-01,0.0044,0.031544181568929,0.027144181568928998
2022-04-01,0.0076,-0.1085301834039894,-0.1161301834039894
2022-05-01,0.0098,-0.0068590264622566,-0.0166590264622566
2022-06-01,0.0149,-0.0949092509361171,-0.1098092509361171
2022-07-01,0.0223,0.1374666682886327,0.11516666828863269
2022-08-01,0.0263,-0.0621272825399815,-0.0884272825399815
2022-09-01,0.0313,-0.1218394731383076,-0.1531394731383076
2022-10-01,0.0372,0.0791861886404705,0.041986188640470504
2022-11-01,0.0415,0.0632674530187171,0.021767453018717096
2022-12-01,0.0425,-0.0847309066892171,-0.1272309066892171
2023-01-01,0.0454,0.0957120662610278,0.05031206626102779
2023-02-01,0.0465,0.0041186537000408,-0.0423813462999592
2023-03-01,0.0469,0.1061382466216243,0.0592382466216243
2023-04-01,0.0492,0.001012963802168,-0.048187036197832
2023-05-01,0.0513999999999999,0.089173321599997,0.0377733215999971
2023-06-01,0.0516,0.0583150765954707,0.006715076595470701
2023-07-01,0.0525,0.0279741549900167,-0.024525845009983296
2023-08-01,0.053,-0.01508267948495,-0.06808267948495
2023-09-01,0.0532,-0.066776925160115,-0.119976925160115
2023-10-01,0.0533999999999999,0.0026251045043663,-0.0507748954956336
2023-11-01,0.0527,0.1289556637454518,0.07625566374545181
2023-12-01,0.0524,0.039533363497106,-0.012866636502894005
2024-01-01,0.0521999999999999,0.0292814820088522,-0.022918517991147698
2024-02-01,0.0524,0.0470457795863095,-0.005354220413690505
2024-03-01,0.0524,0.0062325901364048,-0.0461674098635952
2024-04-01,0.0524,-0.0560614448797102,-0.10846144487971021
2024-05-01,0.0525,0.0707699624748969,0.018269962474896907
2024-06-01,0.0524,0.0764655914764043,0.024065591476404302
2024-07-01,0.052,-0.0311460539687302,-0.0831460539687302
2024-08-01,0.0504999999999999,0.0069927182714863,-0.0435072817285136
2024-09-01,0.0472,0.0246448281934259,-0.022555171806574098
2024-10-01,0.0451,-0.0138235255619316,-0.0589235255619316
2024-11-01,0.0441999999999999,0.0517008753587726,0.007500875358772703
2024-12-01,0.0426999999999999,-0.0051769239541658,-0.0478769239541657
